NumberofBuildings,Electricity(kWh),ComplianceStatus,ThirdLargestPropertyUseTypeGFA,SecondLargestPropertyUseType,ListOfAllPropertyUseTypes,PropertyGFAParking,BuildingType,SiteEUI(kBtu/sf),TaxParcelIdentificationNumber,SourceEUI(kBtu/sf),TotalGHGEmissions,PrimaryPropertyType,LargestPropertyUseType,State,ThirdLargestPropertyUseType,ZipCode,City,SiteEnergyUse(kBtu),Latitude,SiteEUIWN(kBtu/sf),ENERGYSTARScore,SourceEUIWN(kBtu/sf),SteamUse(kBtu),DefaultData,GHGEmissionsIntensity,Address,Electricity(kBtu),PropertyGFATotal,NaturalGas(kBtu),SecondLargestPropertyUseTypeGFA,PropertyGFABuilding(s),NumberofFloors,LargestPropertyUseTypeGFA,DataYear,Neighborhood,YearBuilt,SiteEnergyUseWN(kBtu),Longitude,NaturalGas(therms),PropertyName,CouncilDistrictCode,YearsENERGYSTARCertified,Outlier,OtherFuelUse(kBtu)
1.0,1080307.0,Compliant,,,Hotel,0.0,NonResidential,78.9,659000030,173.5,249.43,Hotel,Hotel,WA,,98101,SEATTLE,6981428.0,47.61219025,80.3,65.0,175.1,2023032.0,No,2.64,405 OLIVE WAY,3686160.0,88434.0,1272388.0,,88434.0,12.0,88434.0,2015,DOWNTOWN,1927,7097539.0,-122.33799744,12724.0,MAYFLOWER PARK HOTEL,7,,,0.0
1.0,1144563.0,Compliant,4622.0,Parking,"Hotel, Parking, Restaurant",15064.0,NonResidential,94.4,659000220,191.3,263.51,Hotel,Hotel,WA,Restaurant,98101,SEATTLE,8354235.0,47.61310583,99.0,51.0,195.2,0.0,No,2.38,724 PINE ST,3905411.0,103566.0,4448985.0,15064.0,88502.0,11.0,83880.0,2015,DOWNTOWN,1996,8765788.0,-122.33335756,44490.0,PARAMOUNT HOTEL,7,,,0.0
1.0,14583930.0,Compliant,0.0,Parking,"Hotel, Parking, Swimming Pool",0.0,NonResidential,96.6,659000475,242.7,2061.48,Hotel,Hotel,WA,Swimming Pool,98101,SEATTLE,73130656.0,47.61334897,99.7,18.0,246.5,19660404.0,Yes,1.92,1900 5TH AVE,49762435.0,961990.0,3709900.0,100000.0,961990.0,41.0,757243.0,2015,DOWNTOWN,1969,75506272.0,-122.33769944,37099.0,WESTIN HOTEL,7,,,0.0
1.0,811521.0,Compliant,,,Hotel,0.0,NonResidential,460.4,659000640,636.3,1936.34,Hotel,Hotel,WA,,98101,SEATTLE,28229320.0,47.61421585,462.5,1.0,643.2,23458518.0,No,31.38,620 STEWART ST,2769023.0,61320.0,2001894.0,,61320.0,10.0,61320.0,2015,DOWNTOWN,1926,28363444.0,-122.33660889,20019.0,HOTEL MAX,7,,High Outlier,0.0
1.0,1777841.0,Compliant,0.0,Parking,"Hotel, Parking, Swimming Pool",12460.0,NonResidential,120.1,659000970,228.8,507.7,Hotel,Hotel,WA,Swimming Pool,98121,SEATTLE,14829099.0,47.6137544,122.1,67.0,227.1,0.0,No,4.02,401 LENORA ST,6066245.0,119890.0,8763105.0,68009.0,107430.0,18.0,123445.0,2015,DOWNTOWN,1980,15078243.0,-122.3409238,87631.0,WARWICK SEATTLE HOTEL,7,,,0.0
1.0,2130921.0,Compliant,,,Police Station,37198.0,Nonresidential COS,135.7,660000560,313.5,304.62,Other,Police Station,WA,,98101,SEATTLE,12051984.0,47.6164389,146.9,,321.6,0.0,No,2.81,810 VIRGINIA ST,7271004.0,97288.0,4781283.0,,60090.0,2.0,88830.0,2015,DOWNTOWN,1999,13045258.0,-122.33676431,47813.0,WEST PRECINCT (SEATTLE POLICE),7,,,0.0
1.0,785342.0,Compliant,,,Hotel,0.0,NonResidential,76.9,660000825,149.5,208.46,Hotel,Hotel,WA,,98101,SEATTLE,6252842.0,47.6141141,79.6,25.0,158.2,0.0,No,2.37,1619 9TH AVE,2679698.0,83008.0,3573255.0,,83008.0,11.0,81352.0,2015,DOWNTOWN,1926,6477493.0,-122.33274086,35733.0,CAMLIN WORLDMARK HOTEL,7,,,0.0
1.0,1203937.0,Compliant,,,Other - Entertainment/Public Assembly,0.0,NonResidential,62.5,660000955,152.2,199.99,Other,Other - Entertainment/Public Assembly,WA,,98101,SEATTLE,6426022.0,47.61290234,71.8,,160.4,2003108.0,No,1.77,901 PINE ST,4108004.0,102761.0,315079.0,,102761.0,8.0,102761.0,2015,DOWNTOWN,1926,7380086.0,-122.33130949,3151.0,PARAMOUNT THEATER,7,,,0.0
1.0,2155728.0,Compliant,,,Hotel,0.0,NonResidential,77.0,939000080,174.6,331.61,Hotel,Hotel,WA,,98104,SEATTLE,12633744.0,47.60258934,82.9,46.0,186.8,0.0,No,1.83,612 2ND AVE,7355649.0,163984.0,5278400.0,,163984.0,15.0,163984.0,2015,DOWNTOWN,1904,13589025.0,-122.33255325,52784.0,COURTYARD BY MARRIOTT - ALASKA BLDG SEATTLE,7,,,0.0
1.0,1857347.0,Compliant,,,,19279.0,NonResidential,101.1,942000145,200.8,576.63,Hotel,,WA,,98101,SEATTLE,14719853.0,47.60712147,107.2,48.0,205.2,3623542.0,No,3.59,1101 4TH AVE,6337531.0,153163.0,4759044.0,,133884.0,11.0,,2015,DOWNTOWN,1969,15615929.0,-122.33431932,47590.0,HOTEL MONACO,7,,,0.0
