Electricity(kWh),SiteEnergyUse(kBtu),SecondLargestPropertyUseTypeGFA,PropertyGFATotal,State,ENERGYSTARScore,Address,SourceEUIWN(kBtu/sf),NaturalGas(therms),TotalGHGEmissions,DefaultData,SiteEnergyUseWN(kBtu),SecondLargestPropertyUseType,PrimaryPropertyType,SiteEUI(kBtu/sf),Latitude,Neighborhood,ComplianceStatus,TaxParcelIdentificationNumber,GHGEmissionsIntensity,PropertyGFABuilding(s),Longitude,Electricity(kBtu),BuildingType,ZipCode,NumberofFloors,Outlier,City,YearBuilt,ThirdLargestPropertyUseTypeGFA,NaturalGas(kBtu),SiteEUIWN(kBtu/sf),PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseTypeGFA,SourceEUI(kBtu/sf),CouncilDistrictCode,LargestPropertyUseType,PropertyName,NumberofBuildings,YearsENERGYSTARCertified,ThirdLargestPropertyUseType,SteamUse(kBtu),DataYear
2901150.0,9898724.0,,111077.0,WA,91.0,400 PINE ST,195.1,0.0,69.01,No,10155788.0,,Retail Store,60.6,47.61171108,DOWNTOWN,Compliant,659000005,0.24,111077.0,-122.33681575,9899135.0,NonResidential,98101,4.0,,SEATTLE,1989,,0.0,62.1,0.0,,,190.2,7,,WESTLAKE MALL RETAIL PORTION,1.0,,,0.0,2015
1901522.0,6525887.0,,98370.0,WA,45.0,1201 2ND AVE,207.7,379.0,47.24,No,6541579.0,,Small- and Mid-Sized Office,66.3,47.60679898,DOWNTOWN,Compliant,1974700175,0.2,72450.0,-122.3371001,6488262.0,NonResidential,98101,6.0,,SEATTLE,1906,,37893.0,66.5,25920.0,Office,98370.0,207.5,7,Office,GALLAND & SENECA BUILDINGS,1.0,,,0.0,2015
4912139.0,16760217.0,47539.0,193788.0,WA,59.0,333 DEXTER AVE N,326.4,0.0,116.84,No,16463978.0,Parking,Large Office,105.8,47.6214758,LAKE UNION,Compliant,1991200870,0.23,155934.0,-122.3430502,16760914.0,NonResidential,98109,4.0,,SEATTLE,1947,11166.0,0.0,104.0,37854.0,"Data Center, Office, Other, Parking, Restaurant",138672.0,332.3,7,Office,KING BROADCASTING,1.0,,Other,0.0,2015
654779.0,4476997.0,21410.0,76598.0,WA,76.0,3639 MARTIN LUTHER KING JR WAY S,166.9,22429.0,134.69,Yes,4617864.0,Parking,Small- and Mid-Sized Office,81.1,47.57089656,GREATER DUWAMISH,Compliant,1426300170,1.63,55188.0,-122.2974118,2234200.0,NonResidential,98144,3.0,,SEATTLE,2008,,2242889.0,83.7,21410.0,"Office, Parking",55188.0,169.8,2,Office,ASIAN COUNSELING and REFERRAL SERVICE BUILDING,1.0,,,0.0,2015
2830466.0,12662456.0,115477.0,186971.0,WA,86.0,325 EASTLAKE AVE E,184.2,30049.0,226.92,No,13575377.0,Parking,Large Office,67.7,47.6212428,LAKE UNION,Compliant,6847700105,0.99,186971.0,-122.3297865,9657951.0,NonResidential,98109,4.0,,SEATTLE,1981,,3004906.0,72.6,0.0,"Office, Parking",186977.0,179.1,7,Office,YALE & THOMAS,1.0,,,0.0,2015
461096.0,1575581.0,,66968.0,WA,1.0,1255 HARRISON ST,73.8,23.0,11.09,No,1575581.0,,Non-Refrigerated Warehouse,23.5,47.62145274,LAKE UNION,Compliant,6849200005,0.06,66968.0,-122.3311285,1573323.0,NonResidential,98109,1.0,,SEATTLE,1955,,2323.0,23.5,0.0,,,73.8,7,,EVERGREEN WHLSLE FLORIST (DEMOLISHED),1.0,,,0.0,2015
9834730.0,55030192.0,250000.0,434475.0,WA,60.0,908 JEFFERSON ST,306.5,0.0,1891.47,No,56652364.0,Parking,Medical Office,126.7,47.60395194,EAST,Compliant,8590400545,4.02,184475.0,-122.3240621,33557492.0,NonResidential,98104,15.0,,SEATTLE,2008,,0.0,130.4,250000.0,"Medical Office, Parking",434475.0,302.0,3,Medical Office,NINTH & JEFFERSON BLDG - HARBORVIEW,1.0,2011,,21474092.0,2015
1059765.0,6669954.0,32000.0,192960.0,WA,95.0,911 WESTERN AVE,118.3,0.0,260.94,No,7723851.0,Parking,Large Office,49.3,47.60373017,DOWNTOWN,Compliant,7666202525,1.27,160800.0,-122.3373671,3616068.0,NonResidential,98104,5.0,,SEATTLE,1911,,0.0,57.1,32160.0,"Office, Parking",135173.0,111.2,7,Office,MARITIME BUILDING,1.0,,,3054035.0,2015
779391.0,2982178.0,,63150.0,WA,67.0,715 3RD AVE,166.1,3229.0,35.69,No,2982178.0,,Small- and Mid-Sized Office,57.0,47.60363571,DOWNTOWN,Compliant,939000245,0.38,63150.0,-122.33229898,2659391.0,NonResidential,98104,4.0,,SEATTLE,1924,,322897.0,57.0,0.0,,,166.1,7,,PACIFIC NW TITLE / OLD CHAMBER OF COMMERCE,1.0,,,0.0,2015
779890.0,6668456.0,27961.0,83448.0,WA,54.0,1001 BROADWAY,189.0,40075.0,231.39,No,7620321.0,Office,Medical Office,93.9,47.61142131,EAST,Compliant,1978201145,2.64,67969.0,-122.3213375,2661094.0,NonResidential,98122,3.0,,SEATTLE,1928,529.0,4007472.0,107.3,15479.0,"Medical Office, Office, Other",42527.0,176.9,3,Medical Office,NORTHWEST MEDICAL CENTER,1.0,,Other,0.0,2015
