Address,SourceEUI(kBtu/sf),SecondLargestPropertyUseType,PrimaryPropertyType,State,NaturalGas(therms),Electricity(kBtu),SiteEUIWN(kBtu/sf),ThirdLargestPropertyUseTypeGFA,SiteEnergyUseWN(kBtu),TaxParcelIdentificationNumber,Neighborhood,Outlier,BuildingType,DefaultData,City,PropertyGFABuilding(s),SteamUse(kBtu),PropertyName,ListOfAllPropertyUseTypes,YearBuilt,GHGEmissionsIntensity,CouncilDistrictCode,Longitude,LargestPropertyUseTypeGFA,PropertyGFAParking,SiteEUI(kBtu/sf),Latitude,SourceEUIWN(kBtu/sf),ZipCode,PropertyGFATotal,NumberofFloors,YearsENERGYSTARCertified,NaturalGas(kBtu),LargestPropertyUseType,OSEBuildingID,Electricity(kWh),ENERGYSTARScore,DataYear,ComplianceStatus,ThirdLargestPropertyUseType,NumberofBuildings,SecondLargestPropertyUseTypeGFA
405 Olive way,182.5,,Hotel,WA,12764.5293,3946027.0,84.30000305,,7456910.0,0659000030,DOWNTOWN,,NonResidential,False,Seattle,88434,2003882.0,Mayflower park hotel,Hotel,1927,2.83,7,-122.33798999999999,88434.0,0,81.69999695,47.6122,189.0,98101.0,88434,12.0,,1276453.0,Hotel,1,1156514.25,60.0,2016,Compliant,,1.0,
1201 9th Ave,277.5,,Other,WA,0.0,17663475.0,92.30000305,,19105426.0,1978200010,EAST,,NonResidential,False,Seattle,109550,1631750.25,Benaroya Research Institute at Virginia Mason,Other,1999,1.2,7,-122.32921999999999,206950.0,97400,93.19999695,47.61,272.7000122,98101.0,206950,5.0,,0.0,Other,434,5176868.5,,2016,Compliant,,1.0,
1100 VIRGINIA ST,81.3,,Small- and Mid-Sized Office,WA,1527.0,688567.0,29.0,,827582.0,660002230,DOWNTOWN,,NonResidential,No,SEATTLE,28568,0.0,DENNY CENTER,Office,1937,0.35,7,-122.33341322,28568.0,0,29.4,47.61832601,79.8,98101,28568,2.0,,152704.0,Office,19658,201799.0,86.0,2015,Compliant,,1.0,
1424 4th Ave,159.8000031,Other,Large Office,WA,25.51000023,5698221.0,53.70000076,9835.0,6146691.5,1975700235,DOWNTOWN,,NonResidential,False,Seattle,132326,328247.0938,Fourth and Pike Building,"Office, Other, Retail Store",1926,0.49,7,-122.3361,92006.0,0,52.70000076,47.61005,163.0,98101.0,132326,10.0,,2551.0,Office,408,1670053.125,72.0,2016,Compliant,Retail Store,0.0,12610.0
1601 E. Yesler Way,230.8000031,,Senior Care Community,WA,41574.53516,4111042.0,113.40000149999999,,8485438.0,9826700565,CENTRAL,,NonResidential,False,Seattle,74840,0.0,Seattle Keiro,Senior Care Community,1987,3.33,3,-122.31088000000001,74840.0,0,110.5,47.60133,237.5,98122.0,74840,2.0,,4157454.0,Senior Care Community,26930,1204877.625,48.0,2016,Compliant,,1.0,
1900 N Northlake Way,152.5,Office,Warehouse,WA,4229.939941,3680806.0,54.79999924,6278.0,4311327.5,4083307185,LAKE UNION,,NonResidential,False,Seattle,78716,0.0,Mariner Square LLC,"Non-Refrigerated Warehouse, Office, Other, Retail Store",1979,0.61,4,-122.33435,41275.0,0,52.09999847,47.64748,156.8999939,98103.0,78716,2.0,,422994.0,Non-Refrigerated Warehouse,26460,1078782.625,38.0,2016,Compliant,Retail Store,1.0,29399.0
4220 22nd Ave W,145.1000061,Office,Other,WA,11995.87988,536408.0,90.90000153,,1845057.875,2771100555,MAGNOLIA / QUEEN ANNE,,NonResidential,False,Seattle,20294,0.0,Max Performance,"Office, Other",1957,3.32,7,-122.38435,18000.0,0,85.5,47.658429999999996,150.1000061,98199.0,20294,2.0,,1199588.0,Other,22863,157212.0938,,2016,Compliant,,1.0,2294.0
4749 Ballard Ave NW,15.89999962,Retail Store,Warehouse,WA,0.0,241478.0,5.5,,262995.3125,2767702360,BALLARD,,NonResidential,False,Seattle,42500,0.0,Ballard Hardware & Supply Co Inc,"Non-Refrigerated Warehouse, Retail Store",1927,0.04,6,-122.38063999999999,42500.0,0,5.099999905,47.66353,17.39999962,98107.0,42500,4.0,,0.0,Non-Refrigerated Warehouse,22650,70773.29688,100.0,2016,Compliant,,1.0,5091.0
200 W Mercer St,139.6999969,,Small- and Mid-Sized Office,WA,0.0,4391348.0,44.5,,4395027.0,7015350000,MAGNOLIA / QUEEN ANNE,,NonResidential,False,Seattle,98668,0.0,Queen Anne Square East (200),Office,1982,0.31,7,-122.35965,98668.0,0,44.5,47.624970000000005,139.8999939,98119.0,98668,5.0,2016201520142013201220102009,0.0,Office,693,1287030.375,91.0,2016,Compliant,,1.0,
3400 California Avenue SW,306.2999878,Parking,Medical Office,WA,0.0,1961581.0,97.59999847,,1961581.5,7872500005,SOUTHWEST,,NonResidential,False,Seattle,28304,0.0,Swedish Health Services,"Medical Office, Parking",1984,0.34,1,-122.38643,20106.0,12000,97.59999847,47.572959999999995,306.2999878,98116.0,40304,3.0,,0.0,Medical Office,23888,574906.625,5.0,2016,Compliant,,1.0,16412.0
315 W. Bertona,290.7000122,Restaurant,University,WA,102748.3516,6103316.0,170.8999939,,17612938.0,8900000555,MAGNOLIA / QUEEN ANNE,,NonResidential,False,Seattle,122679,0.0,Student Union Building / Royal Brougham Pavilion,"College/University, Restaurant",1959,4.8,7,-122.36173000000001,101035.0,0,159.0,47.65019,303.2999878,98119.0,122679,2.0,,10274835.0,College/University,25250,1788779.625,,2016,Compliant,,1.0,2000.0
5021 COLORADO AVE S,66.19999695,,Self-Storage Facility,WA,0.0,545426.0,23.5,,607988.1875,3573200920,GREATER DUWAMISH,,NonResidential,False,Seattle,25881,0.0,OLD LIQUID CARBONIC CO,Self-Storage Facility,1930,0.15,2,-122.33728,25881.0,0,21.10000038,47.55662,73.80000305,98134.0,25881,1.0,,0.0,Self-Storage Facility,23936,159855.2969,,2016,Compliant,,1.0,
425 Pike Street,275.89999389999997,Parking,Large Office,WA,0.0,7335905.0,87.90000153,5000.0,7335905.5,1975700240,DOWNTOWN,,NonResidential,False,Seattle,96630,0.0,Washington Federal,"Office, Other, Parking, Retail Store",1984,0.47,7,-122.3357,83485.0,13200,87.90000153,47.61033,275.89999389999997,98101.0,109830,6.0,,0.0,Office,409,2150030.75,45.0,2016,Compliant,Retail Store,1.0,13200.0
1141 NW 50th St,167.5,Office,Warehouse,WA,12365.78906,1799383.0,79.30000305,,3287502.0,2768301991,BALLARD,,NonResidential,False,Seattle,41478,0.0,Building B,"Non-Refrigerated Warehouse, Office",1975,1.89,6,-122.37246,31932.0,0,73.19999695,47.6644,173.8999939,98107.0,41478,3.0,,1236579.0,Non-Refrigerated Warehouse,22261,527369.0,3.0,2016,Compliant,,1.0,9546.0
